Title,Date
"Norsemen: Temporada 1: El regreso","16/10/18"
"House of Cards: Temporada 5: Capítulo 65","15/10/18"
"House of Cards: Temporada 5: Capítulo 64","11/10/18"
"House of Cards: Temporada 5: Capítulo 63","10/10/18"
"House of Cards: Temporada 5: Capítulo 62","10/10/18"
"House of Cards: Temporada 5: Capítulo 61","10/10/18"
"House of Cards: Temporada 5: Capítulo 60","8/10/18"
"House of Cards: Temporada 5: Capítulo 59","8/10/18"
"House of Cards: Temporada 5: Capítulo 58","8/10/18"
"House of Cards: Temporada 5: Capítulo 57","2/10/18"
"House of Cards: Temporada 5: Capítulo 56","1/10/18"
"House of Cards: Temporada 5: Capítulo 55","1/10/18"
"House of Cards: Temporada 5: Capítulo 54","1/10/18"
"Thi Mai: rumbo a Vietnam","29/9/18"
"En mi propia piel","28/9/18"
"Maniac: Miniserie: ¡El elegido!","25/9/18"
"House of Cards: Temporada 5: Capítulo 53","24/9/18"
"Vikingos: Temporada 4: El ajuste de cuentas","23/9/18"
"Vikingos: Temporada 4: ﻿La víspera","23/9/18"
"Vikingos: Temporada 4: Venganza","23/9/18"
"Vikingos: Temporada 4: El gran ejército","18/9/18"
"Vikingos: Temporada 4: ﻿Viajes","17/9/18"
"Vikingos: Temporada 4: Todos sus ángeles","16/9/18"
"Vikingos: Temporada 4: En esa hora incierta antes del alba","15/9/18"
"Vikingos: Temporada 4: Dos viajes","15/9/18"
"Vikingos: Temporada 4: La visión","15/9/18"
"Vikingos: Temporada 4: El forastero","15/9/18"
"Marvel - Iron Fist: Temporada 1: Puñetazo de trueno de cañón","13/9/18"
"Marvel - Iron Fist: Temporada 1: Halcón de las sombras alza el vuelo","13/9/18"
"Marvel - Iron Fist: Temporada 1: La nieve se desploma","13/9/18"
"Marvel - Iron Fist: Temporada 2: La furia de Iron Fist","13/9/18"
"Vikingos: Temporada 4: El último barco","12/9/18"
"Vikingos: Temporada 4: Muerte alrededor","12/9/18"
"Vikingos: Temporada 4: Porte","11/9/18"
"Vikingos: Temporada 4: Beneficios y pérdidas","11/9/18"
"Outlander: Temporada 2: Fe","11/9/18"
"Vikingos: Temporada 4: Lo que podría haber sido","10/9/18"
"Outlander: Temporada 2: Los planes mejor trazados","10/9/18"
